"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"550","3964","python3.12","127.0.0.1","cask__5x_cudnn::computeBOffsetsKernel(cask__5x_cudnn::ComputeBOffsetsParams)","1","7","(256, 1, 1)","(2, 1, 1)","0","7.5","Command line profiler metrics","gpu__time_duration.sum","us","4.38"
"550","3964","python3.12","127.0.0.1","cask__5x_cudnn::computeBOffsetsKernel(cask__5x_cudnn::ComputeBOffsetsParams)","1","7","(256, 1, 1)","(2, 1, 1)","0","7.5","Command line profiler metrics","smsp__sass_thread_inst_executed_op_fadd_pred_on.sum","inst","0"
"550","3964","python3.12","127.0.0.1","cask__5x_cudnn::computeBOffsetsKernel(cask__5x_cudnn::ComputeBOffsetsParams)","1","7","(256, 1, 1)","(2, 1, 1)","0","7.5","Command line profiler metrics","smsp__sass_thread_inst_executed_op_ffma_pred_on.sum","inst","0"
"550","3964","python3.12","127.0.0.1","cask__5x_cudnn::computeBOffsetsKernel(cask__5x_cudnn::ComputeBOffsetsParams)","1","7","(256, 1, 1)","(2, 1, 1)","0","7.5","Command line profiler metrics","smsp__sass_thread_inst_executed_op_fmul_pred_on.sum","inst","0"
"550","3964","python3.12","127.0.0.1","cask__5x_cudnn::computeBOffsetsKernel(cask__5x_cudnn::ComputeBOffsetsParams)","1","7","(256, 1, 1)","(2, 1, 1)","0","7.5","Command line profiler metrics","smsp__sass_thread_inst_executed_op_hmma_pred_on.sum","","n/a"
"551","3964","python3.12","127.0.0.1","_5x_cudnn_volta_scudnn_128x64_stridedB_small_nn_v1","1","7","(128, 1, 1)","(49, 2, 1)","0","7.5","Command line profiler metrics","dram__bytes_read.sum","Mbyte","33.29"
"551","3964","python3.12","127.0.0.1","_5x_cudnn_volta_scudnn_128x64_stridedB_small_nn_v1","1","7","(128, 1, 1)","(49, 2, 1)","0","7.5","Command line profiler metrics","dram__bytes_write.sum","Mbyte","4.41"
"551","3964","python3.12","127.0.0.1","_5x_cudnn_volta_scudnn_128x64_stridedB_small_nn_v1","1","7","(128, 1, 1)","(49, 2, 1)","0","7.5","Command line profiler metrics","gpu__time_duration.sum","us","437.76"
"551","3964","python3.12","127.0.0.1","_5x_cudnn_volta_scudnn_128x64_stridedB_small_nn_v1","1","7","(128, 1, 1)","(49, 2, 1)","0","7.5","Command line profiler metrics","smsp__sass_thread_inst_executed_op_fadd_pred_on.sum","inst","0"
"551","3964","python3.12","127.0.0.1","_5x_cudnn_volta_scudnn_128x64_stridedB_small_nn_v1","1","7","(128, 1, 1)","(49, 2, 1)","0","7.5","Command line profiler metrics","smsp__sass_thread_inst_executed_op_ffma_pred_on.sum","inst","411,041,792"
"551","3964","python3.12","127.0.0.1","_5x_cudnn_volta_scudnn_128x64_stridedB_small_nn_v1","1","7","(128, 1, 1)","(49, 2, 1)","0","7.5","Command line profiler metrics","smsp__sass_thread_inst_executed_op_fmul_pred_on.sum","inst","802,816"
"551","3964","python3.12","127.0.0.1","_5x_cudnn_volta_scudnn_128x64_stridedB_small_nn_v1","1","7","(128, 1, 1)","(49, 2, 1)","0","7.5","Command line profiler metrics","smsp__sass_thread_inst_executed_op_hmma_pred_on.sum","","n/a"
"552","3964","python3.12","127.0.0.1","volta_sgemm_64x64_tn","1","7","(64, 1, 1)","(2, 8, 8)","0","7.5","Command line profiler metrics","dram__bytes_read.sum","Mbyte","41.10"
"552","3964","python3.12","127.0.0.1","volta_sgemm_64x64_tn","1","7","(64, 1, 1)","(2, 8, 8)","0","7.5","Command line profiler metrics","dram__bytes_write.sum","Mbyte","2.39"
"552","3964","python3.12","127.0.0.1","volta_sgemm_64x64_tn","1","7","(64, 1, 1)","(2, 8, 8)","0","7.5","Command line profiler metrics","gpu__time_duration.sum","us","389.66"
"552","3964","python3.12","127.0.0.1","volta_sgemm_64x64_tn","1","7","(64, 1, 1)","(2, 8, 8)","0","7.5","Command line profiler metrics","smsp__sass_thread_inst_executed_op_fadd_pred_on.sum","inst","0"
"552","3964","python3.12","127.0.0.1","volta_sgemm_64x64_tn","1","7","(64, 1, 1)","(2, 8, 8)","0","7.5","Command line profiler metrics","smsp__sass_thread_inst_executed_op_ffma_pred_on.sum","inst","411,041,792"
"552","3964","python3.12","127.0.0.1","volta_sgemm_64x64_tn","1","7","(64, 1, 1)","(2, 8, 8)","0","7.5","Command line profiler metrics","smsp__sass_thread_inst_executed_op_fmul_pred_on.sum","inst","524,288"
"552","3964","python3.12","127.0.0.1","volta_sgemm_64x64_tn","1","7","(64, 1, 1)","(2, 8, 8)","0","7.5","Command line profiler metrics","smsp__sass_thread_inst_executed_op_hmma_pred_on.sum","","n/a"
"553","3964","python3.12","127.0.0.1","void cnn::reduce_wgrad_nchw_helper<float, float>(void *, const void *, T1, int, int)","1","7","(128, 1, 1)","(512, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_read.sum","Mbyte","2.38"
"553","3964","python3.12","127.0.0.1","void cnn::reduce_wgrad_nchw_helper<float, float>(void *, const void *, T1, int, int)","1","7","(128, 1, 1)","(512, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_write.sum","Kbyte","125.15"
"553","3964","python3.12","127.0.0.1","void cnn::reduce_wgrad_nchw_helper<float, float>(void *, const void *, T1, int, int)","1","7","(128, 1, 1)","(512, 1, 1)","0","7.5","Command line profiler metrics","gpu__time_duration.sum","us","13.86"
"553","3964","python3.12","127.0.0.1","void cnn::reduce_wgrad_nchw_helper<float, float>(void *, const void *, T1, int, int)","1","7","(128, 1, 1)","(512, 1, 1)","0","7.5","Command line profiler metrics","smsp__sass_thread_inst_executed_op_fadd_pred_on.sum","inst","524,288"
"553","3964","python3.12","127.0.0.1","void cnn::reduce_wgrad_nchw_helper<float, float>(void *, const void *, T1, int, int)","1","7","(128, 1, 1)","(512, 1, 1)","0","7.5","Command line profiler metrics","smsp__sass_thread_inst_executed_op_ffma_pred_on.sum","inst","0"
"553","3964","python3.12","127.0.0.1","void cnn::reduce_wgrad_nchw_helper<float, float>(void *, const void *, T1, int, int)","1","7","(128, 1, 1)","(512, 1, 1)","0","7.5","Command line profiler metrics","smsp__sass_thread_inst_executed_op_fmul_pred_on.sum","inst","0"
"553","3964","python3.12","127.0.0.1","void cnn::reduce_wgrad_nchw_helper<float, float>(void *, const void *, T1, int, int)","1","7","(128, 1, 1)","(512, 1, 1)","0","7.5","Command line profiler metrics","smsp__sass_thread_inst_executed_op_hmma_pred_on.sum","","n/a"
"554","3964","python3.12","127.0.0.1","void at::vectorized_elementwise_kernel<4, at::BinaryFunctor<float, float, float, void at::<unnamed>::threshold_kernel_impl<float>(at::TensorIteratorBase &, T1, T1)::[lambda(float, float) (instance 1)]>, std::array<char *, 3>>(int, T2, T3)","1","7","(128, 1, 1)","(784, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_read.sum","Mbyte","7.29"
"554","3964","python3.12","127.0.0.1","void at::vectorized_elementwise_kernel<4, at::BinaryFunctor<float, float, float, void at::<unnamed>::threshold_kernel_impl<float>(at::TensorIteratorBase &, T1, T1)::[lambda(float, float) (instance 1)]>, std::array<char *, 3>>(int, T2, T3)","1","7","(128, 1, 1)","(784, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_write.sum","Mbyte","2.74"
"554","3964","python3.12","127.0.0.1","void at::vectorized_elementwise_kernel<4, at::BinaryFunctor<float, float, float, void at::<unnamed>::threshold_kernel_impl<float>(at::TensorIteratorBase &, T1, T1)::[lambda(float, float) (instance 1)]>, std::array<char *, 3>>(int, T2, T3)","1","7","(128, 1, 1)","(784, 1, 1)","0","7.5","Command line profiler metrics","gpu__time_duration.sum","us","39.36"
"554","3964","python3.12","127.0.0.1","void at::vectorized_elementwise_kernel<4, at::BinaryFunctor<float, float, float, void at::<unnamed>::threshold_kernel_impl<float>(at::TensorIteratorBase &, T1, T1)::[lambda(float, float) (instance 1)]>, std::array<char *, 3>>(int, T2, T3)","1","7","(128, 1, 1)","(784, 1, 1)","0","7.5","Command line profiler metrics","smsp__sass_thread_inst_executed_op_fadd_pred_on.sum","inst","0"
"554","3964","python3.12","127.0.0.1","void at::vectorized_elementwise_kernel<4, at::BinaryFunctor<float, float, float, void at::<unnamed>::threshold_kernel_impl<float>(at::TensorIteratorBase &, T1, T1)::[lambda(float, float) (instance 1)]>, std::array<char *, 3>>(int, T2, T3)","1","7","(128, 1, 1)","(784, 1, 1)","0","7.5","Command line profiler metrics","smsp__sass_thread_inst_executed_op_ffma_pred_on.sum","inst","0"
"554","3964","python3.12","127.0.0.1","void at::vectorized_elementwise_kernel<4, at::BinaryFunctor<float, float, float, void at::<unnamed>::threshold_kernel_impl<float>(at::TensorIteratorBase &, T1, T1)::[lambda(float, float) (instance 1)]>, std::array<char *, 3>>(int, T2, T3)","1","7","(128, 1, 1)","(784, 1, 1)","0","7.5","Command line profiler metrics","smsp__sass_thread_inst_executed_op_fmul_pred_on.sum","inst","0"
"554","3964","python3.12","127.0.0.1","void at::vectorized_elementwise_kernel<4, at::BinaryFunctor<float, float, float, void at::<unnamed>::threshold_kernel_impl<float>(at::TensorIteratorBase &, T1, T1)::[lambda(float, float) (instance 1)]>, std::array<char *, 3>>(int, T2, T3)","1","7","(128, 1, 1)","(784, 1, 1)","0","7.5","Command line profiler metrics","smsp__sass_thread_inst_executed_op_hmma_pred_on.sum","","n/a"
"555","3964","python3.12","127.0.0.1","void cudnn::bn_bw_1C11_kernel_new<float, float, float2, 32, 1, 1>(T2, T2, T2, T2, cudnnTensorStruct, const T1 *, cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, T2 *, T2 *, const T2 *, const T2 *, T2)","1","7","(512, 1, 1)","(128, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_read.sum","Mbyte","11.49"
"555","3964","python3.12","127.0.0.1","void cudnn::bn_bw_1C11_kernel_new<float, float, float2, 32, 1, 1>(T2, T2, T2, T2, cudnnTensorStruct, const T1 *, cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, T2 *, T2 *, const T2 *, const T2 *, T2)","1","7","(512, 1, 1)","(128, 1, 1)","0","7.5","Command line profiler metrics","dram__bytes_write.sum","Mbyte","3.59"
"555","3964","python3.12","127.0.0.1","void cudnn::bn_bw_1C11_kernel_new<float, float, float2, 32, 1, 1>(T2, T2, T2, T2, cudnnTensorStruct, const T1 *, cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, T2 *, T2 *, const T2 *, const T2 *, T2)","1","7","(512, 1, 1)","(128, 1, 1)","0","7.5","Command line profiler metrics","gpu__time_duration.sum","us","82.11"
"555","3964","python3.12","127.0.0.1","void cudnn::bn_bw_1C11_kernel_new<float, float, float2, 32, 1, 1>(T2, T2, T2, T2, cudnnTensorStruct, const T1 *, cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, T2 *, T2 *, const T2 *, const T2 *, T2)","1","7","(512, 1, 1)","(128, 1, 1)","0","7.5","Command line profiler metrics","smsp__sass_thread_inst_executed_op_fadd_pred_on.sum","inst","3,907,712"
"555","3964","python3.12","127.0.0.1","void cudnn::bn_bw_1C11_kernel_new<float, float, float2, 32, 1, 1>(T2, T2, T2, T2, cudnnTensorStruct, const T1 *, cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, T2 *, T2 *, const T2 *, const T2 *, T2)","1","7","(512, 1, 1)","(128, 1, 1)","0","7.5","Command line profiler metrics","smsp__sass_thread_inst_executed_op_ffma_pred_on.sum","inst","2,408,704"
"555","3964","python3.12","127.0.0.1","void cudnn::bn_bw_1C11_kernel_new<float, float, float2, 32, 1, 1>(T2, T2, T2, T2, cudnnTensorStruct, const T1 *, cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, T2 *, T2 *, const T2 *, const T2 *, T2)","1","7","(512, 1, 1)","(128, 1, 1)","0","7.5","Command line profiler metrics","smsp__sass_thread_inst_executed_op_fmul_pred_on.sum","inst","1,606,528"
"555","3964","python3.12","127.0.0.1","void cudnn::bn_bw_1C11_kernel_new<float, float, float2, 32, 1, 1>(T2, T2, T2, T2, cudnnTensorStruct, const T1 *, cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const T2 *, T2 *, T2 *, const T2 *, const T2 *, T2)","1","7","(512, 1, 1)","(128, 1, 1)","0","7.5","Command line profiler metrics","smsp__sass_thread_inst_executed_op_hmma_pred_on.sum","","n/a"
"556","3964","python3.12","127.0.0.1","void winograd_nonfused::winogradForwardData4x4<float, float>(winograd_nonfused::WinogradDataParams<T1, T2>)","1","7","(256, 1, 1)","(4, 128, 1)","0","7.5","Command line profiler metrics","dram__bytes_read.sum","Mbyte","4.01"
"556","3964","python3.12","127.0.0.1","void winograd_nonfused::winogradForwardData4x4<float, float>(winograd_nonfused::WinogradDataParams<T1, T2>)","1","7","(256, 1, 1)","(4, 128, 1)","0","7.5","Command line profiler metrics","dram__bytes_write.sum","Mbyte","16.55"
"556","3964","python3.12","127.0.0.1","void winograd_nonfused::winogradForwardData4x4<float, float>(winograd_nonfused::WinogradDataParams<T1, T2>)","1","7","(256, 1, 1)","(4, 128, 1)","0","7.5","Command line profiler metrics","gpu__time_duration.sum","us","109.63"
"556","3964","python3.12","127.0.0.1","void winograd_nonfused::winogradForwardData4x4<float, float>(winograd_nonfused::WinogradDataParams<T1, T2>)","1","7","(256, 1, 1)","(4, 128, 1)","0","7.5","Command line profiler metrics","smsp__sass_thread_inst_executed_op_fadd_pred_on.sum","inst","9,633,792"
"556","3964","python3.12","127.0.0.1","void winograd_nonfused::winogradForwardData4x4<float, float>(winograd_nonfused::WinogradDataParams<T1, T2>)","1","7","(256, 1, 1)","(4, 128, 1)","0","7.5","Command line profiler metrics","smsp__sass_thread_inst_executed_op_ffma_pred_on.sum","inst","4,816,896"
"556","3964","python3.12","127.0.0.1","void winograd_nonfused::winogradForwardData4x4<float, float>(winograd_nonfused::WinogradDataParams<T1, T2>)","1","7","(256, 1, 1)","(4, 128, 1)","0","7.5","Command line profiler metrics","smsp__sass_thread_inst_executed_op_fmul_pred_on.sum","inst","4,816,896"
"556","3964","python3.12","127.0.0.1","void winograd_nonfused::winogradForwardData4x4<float, float>(winograd_nonfused::WinogradDataParams<T1, T2>)","1","7","(256, 1, 1)","(4, 128, 1)","0","7.5","Command line profiler metrics","smsp__sass_thread_inst_executed_op_hmma_pred_on.sum","","n/a"
"557","3964","python3.12","127.0.0.1","void winograd_nonfused::winogradForwardFilter4x4<float, float>(winograd_nonfused::WinogradFilterParams<T1, T2>)","1","7","(32, 8, 1)","(4, 16, 1)","0","7.5","Command line profiler metrics","dram__bytes_read.sum","Kbyte","688.35"
"557","3964","python3.12","127.0.0.1","void winograd_nonfused::winogradForwardFilter4x4<float, float>(winograd_nonfused::WinogradFilterParams<T1, T2>)","1","7","(32, 8, 1)","(4, 16, 1)","0","7.5","Command line profiler metrics","dram__bytes_write.sum","Mbyte","1.62"
"557","3964","python3.12","127.0.0.1","void winograd_nonfused::winogradForwardFilter4x4<float, float>(winograd_nonfused::WinogradFilterParams<T1, T2>)","1","7","(32, 8, 1)","(4, 16, 1)","0","7.5","Command line profiler metrics","gpu__time_duration.sum","us","15.23"
"557","3964","python3.12","127.0.0.1","void winograd_nonfused::winogradForwardFilter4x4<float, float>(winograd_nonfused::WinogradFilterParams<T1, T2>)","1","7","(32, 8, 1)","(4, 16, 1)","0","7.5","Command line profiler metrics","smsp__sass_thread_inst_executed_op_fadd_pred_on.sum","inst","442,368"
"557","3964","python3.12","127.0.0.1","void winograd_nonfused::winogradForwardFilter4x4<float, float>(winograd_nonfused::WinogradFilterParams<T1, T2>)","1","7","(32, 8, 1)","(4, 16, 1)","0","7.5","Command line profiler metrics","smsp__sass_thread_inst_executed_op_ffma_pred_on.sum","inst","442,368"
"557","3964","python3.12","127.0.0.1","void winograd_nonfused::winogradForwardFilter4x4<float, float>(winograd_nonfused::WinogradFilterParams<T1, T2>)","1","7","(32, 8, 1)","(4, 16, 1)","0","7.5","Command line profiler metrics","smsp__sass_thread_inst_executed_op_fmul_pred_on.sum","inst","0"
"557","3964","python3.12","127.0.0.1","void winograd_nonfused::winogradForwardFilter4x4<float, float>(winograd_nonfused::WinogradFilterParams<T1, T2>)","1","7","(32, 8, 1)","(4, 16, 1)","0","7.5","Command line profiler metrics","smsp__sass_thread_inst_executed_op_hmma_pred_on.sum","","n/a"
"558","3964","python3.12","127.0.0.1","volta_sgemm_128x64_nt","1","7","(128, 1, 1)","(7, 2, 36)","0","7.5","Command line profiler metrics","dram__bytes_read.sum","Mbyte","22.98"
"558","3964","python3.12","127.0.0.1","volta_sgemm_128x64_nt","1","7","(128, 1, 1)","(7, 2, 36)","0","7.5","Command line profiler metrics","dram__bytes_write.sum","Mbyte","16.63"
"558","3964","python3.12","127.0.0.1","volta_sgemm_128x64_nt","1","7","(128, 1, 1)","(7, 2, 36)","0","7.5","Command line profiler metrics","gpu__time_duration.sum","us","414.21"
"558","3964","python3.12","127.0.0.1","volta_sgemm_128x64_nt","1","7","(128, 1, 1)","(7, 2, 36)","0","7.5","Command line profiler metrics","smsp__sass_thread_inst_executed_op_fadd_pred_on.sum","inst","0"
"558","3964","python3.12","127.0.0.1","volta_sgemm_128x64_nt","1","7","(128, 1, 1)","(7, 2, 36)","0","7.5","Command line profiler metrics","smsp__sass_thread_inst_executed_op_ffma_pred_on.sum","inst","528,482,304"
"558","3964","python3.12","127.0.0.1","volta_sgemm_128x64_nt","1","7","(128, 1, 1)","(7, 2, 36)","0","7.5","Command line profiler metrics","smsp__sass_thread_inst_executed_op_fmul_pred_on.sum","inst","4,128,768"
"558","3964","python3.12","127.0.0.1","volta_sgemm_128x64_nt","1","7","(128, 1, 1)","(7, 2, 36)","0","7.5","Command line profiler metrics","smsp__sass_thread_inst_executed_op_hmma_pred_on.sum","","n/a"
"559","3964","python3.12","127.0.0.1","void winograd_nonfused::winogradForwardOutput4x4<float, float>(winograd_nonfused::WinogradOutputParams<T1, T2>)","1","7","(256, 1, 1)","(4, 128, 1)","0","7.5","Command line profiler metrics","dram__bytes_read.sum","Mbyte","20.13"
"559","3964","python3.12","127.0.0.1","void winograd_nonfused::winogradForwardOutput4x4<float, float>(winograd_nonfused::WinogradOutputParams<T1, T2>)","1","7","(256, 1, 1)","(4, 128, 1)","0","7.5","Command line profiler metrics","dram__bytes_write.sum","Mbyte","3.55"
"559","3964","python3.12","127.0.0.1","void winograd_nonfused::winogradForwardOutput4x4<float, float>(winograd_nonfused::WinogradOutputParams<T1, T2>)","1","7","(256, 1, 1)","(4, 128, 1)","0","7.5","Command line profiler metrics","gpu__time_duration.sum","us","95.74"
"559","3964","python3.12","127.0.0.1","void winograd_nonfused::winogradForwardOutput4x4<float, float>(winograd_nonfused::WinogradOutputParams<T1, T2>)","1","7","(256, 1, 1)","(4, 128, 1)","0","7.5","Command line profiler metrics","smsp__sass_thread_inst_executed_op_fadd_pred_on.sum","inst","4,734,976"
"559","3964","python3.12","127.0.0.1","void winograd_nonfused::winogradForwardOutput4x4<float, float>(winograd_nonfused::WinogradOutputParams<T1, T2>)","1","7","(256, 1, 1)","(4, 128, 1)","0","7.5","Command line profiler metrics","smsp__sass_thread_inst_executed_op_ffma_pred_on.sum","inst","11,288,576"
"559","3964","python3.12","127.0.0.1","void winograd_nonfused::winogradForwardOutput4x4<float, float>(winograd_nonfused::WinogradOutputParams<T1, T2>)","1","7","(256, 1, 1)","(4, 128, 1)","0","7.5","Command line profiler metrics","smsp__sass_thread_inst_executed_op_fmul_pred_on.sum","inst","4,734,976"
"559","3964","python3.12","127.0.0.1","void winograd_nonfused::winogradForwardOutput4x4<float, float>(winograd_nonfused::WinogradOutputParams<T1, T2>)","1","7","(256, 1, 1)","(4, 128, 1)","0","7.5","Command line profiler metrics","smsp__sass_thread_inst_executed_op_hmma_pred_on.sum","","n/a"
"560","3964","python3.12","127.0.0.1","void winograd_nonfused::winogradWgradData4x4<float, float>(winograd_nonfused::WinogradDataParams<T1, T2>)","1","7","(256, 1, 1)","(32, 8, 1)","0","7.5","Command line profiler metrics","dram__bytes_read.sum","Mbyte","4.02"
"560","3964","python3.12","127.0.0.1","void winograd_nonfused::winogradWgradData4x4<float, float>(winograd_nonfused::WinogradDataParams<T1, T2>)","1","7","(256, 1, 1)","(32, 8, 1)","0","7.5","Command line profiler metrics","dram__bytes_write.sum","Mbyte","7.57"
"560","3964","python3.12","127.0.0.1","void winograd_nonfused::winogradWgradData4x4<float, float>(winograd_nonfused::WinogradDataParams<T1, T2>)","1","7","(256, 1, 1)","(32, 8, 1)","0","7.5","Command line profiler metrics","gpu__time_duration.sum","us","58.37"
"560","3964","python3.12","127.0.0.1","void winograd_nonfused::winogradWgradData4x4<float, float>(winograd_nonfused::WinogradDataParams<T1, T2>)","1","7","(256, 1, 1)","(32, 8, 1)","0","7.5","Command line profiler metrics","smsp__sass_thread_inst_executed_op_fadd_pred_on.sum","inst","4,816,896"
"560","3964","python3.12","127.0.0.1","void winograd_nonfused::winogradWgradData4x4<float, float>(winograd_nonfused::WinogradDataParams<T1, T2>)","1","7","(256, 1, 1)","(32, 8, 1)","0","7.5","Command line profiler metrics","smsp__sass_thread_inst_executed_op_ffma_pred_on.sum","inst","2,408,448"
"560","3964","python3.12","127.0.0.1","void winograd_nonfused::winogradWgradData4x4<float, float>(winograd_nonfused::WinogradDataParams<T1, T2>)","1","7","(256, 1, 1)","(32, 8, 1)","0","7.5","Command line profiler metrics","smsp__sass_thread_inst_executed_op_fmul_pred_on.sum","inst","2,709,504"
